binary_name,dependency_name
tagit,libsrm_client.so
tagit,libsrm_client_cmd.so
tagit,libc.so.3
thogs,libsrm_client.so
thogs,libsrm_client_cmd.so
thogs,libc.so.3
tracectl,libsrm_client.so
tracectl,libsrm_client_cmd.so
tracectl,libc.so.3
tr_lite,libc.so.3
VersionManager,libsys_colibry.cpp-ne.so.7
VersionManager,libsys_trace_clienttrace.cpp-ne.so.7
VersionManager,libsys_dsi_trace.cpp-ne.so.6
VersionManager,libsys_dsi_colibry.cpp-ne.so.8
VersionManager,libsys_colibry_net.cpp-ne.so.7
VersionManager,libsys_dsi_servicebroker.cpp-ne.so.4
VersionManager,libsocket.so.3
VersionManager,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
VersionManager,libwdgadapter.so.1
VersionManager,libheartbeat.so.3
VersionManager,libcpp-ne.so.4
VersionManager,libc.so.3
videocapturetest,libcpp-ne.so.4
videocapturetest,libc.so.3
videowatchdogcontrol,libvideowatchdog.cpp-ne.so
videowatchdogcontrol,libcommunication.cpp-ne.so
videowatchdogcontrol,libz.so.2
videowatchdogcontrol,libcpp-ne.so.4
videowatchdogcontrol,libc.so.3
libcapture-decoder-adv7481-hbas.so,libcpp-ne.so.4
libcapture-decoder-adv7481-hbas.so,libc.so.3
libcapture_X.cpp-ne.so,libcommunication.cpp-ne.so
libcapture_X.cpp-ne.so,libcpp-ne.so.4
libcapture_X.cpp-ne.so,libc.so.3
libcommonapi21.gpp.so.2,libstdc++.so.6
libcommonapi21.gpp.so.2,libm.so.2
libcommonapi21.gpp.so.2,libc.so.3
libcommonapi21_someip.gpp.so.7,libstdc++.so.6
libcommonapi21_someip.gpp.so.7,libm.so.2
libcommonapi21_someip.gpp.so.7,libc.so.3
libcommunication.cpp-ne.so,libbacktrace.so.1
libcommunication.cpp-ne.so,libz.so.2
libcommunication.cpp-ne.so,libcpp-ne.so.4
libcommunication.cpp-ne.so,libc.so.3
libcommunication.gpp.so,libbacktrace.so.1
libcommunication.gpp.so,libz.so.2
libcommunication.gpp.so,libstdc++.so.6
libcommunication.gpp.so,libm.so.2
libcommunication.gpp.so,libc.so.3
libcommunication_graphics.cpp-ne.so,libcommunication.cpp-ne.so
libcommunication_graphics.cpp-ne.so,libGLESv2.so.1
libcommunication_graphics.cpp-ne.so,libEGL.so.1
libcommunication_graphics.cpp-ne.so,libscreen.so.1
libcommunication_graphics.cpp-ne.so,libcpp-ne.so.4
libcommunication_graphics.cpp-ne.so,libc.so.3
libdtrap.so,libbacktrace.so.1
libdtrap.so,libc.so.3
libEGL_X.cpp-ne.so,libcommunication.cpp-ne.so
libEGL_X.cpp-ne.so,libcpp-ne.so.4
